epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2391.36,0.60751,0.65602,1.16027,0.9866,0.6087,0.71562,0.39155,1.66237,1.55625,2.33872,0.0008318,0.0008318,0.0008318
61,2436.08,0.60908,0.62119,1.13443,0.83911,0.68081,0.73581,0.40965,1.65879,1.48709,2.2003,0.000812,0.000812,0.000812
62,2479.83,0.58195,0.5599,1.08821,0.80956,0.6087,0.67647,0.41021,1.5489,1.50556,2.06766,0.0007922,0.0007922,0.0007922
63,2526.05,0.56821,0.5426,1.06922,0.92849,0.56454,0.67831,0.40697,1.47528,1.49153,1.99947,0.0007724,0.0007724,0.0007724
64,2564.71,0.59253,0.55329,1.071,0.92521,0.56522,0.67542,0.406,1.45105,1.53917,1.89989,0.0007526,0.0007526,0.0007526
65,2597.04,0.51775,0.50545,1.03155,1,0.51333,0.66656,0.40368,1.34366,1.57846,1.86198,0.0007328,0.0007328,0.0007328
66,2631.08,0.52488,0.50049,1.01919,0.76435,0.56522,0.60656,0.38371,1.4384,1.50922,1.98299,0.000713,0.000713,0.000713
67,2670.27,0.5283,0.49146,1.06128,0.71056,0.56522,0.60447,0.36,1.53698,1.58199,2.13098,0.0006932,0.0006932,0.0006932
68,2712.26,0.52656,0.47872,1.04108,0.86209,0.56522,0.63309,0.3106,1.72023,1.83037,2.44153,0.0006734,0.0006734,0.0006734
69,2754.44,0.48899,0.46201,1.01772,0.75551,0.56522,0.60572,0.31515,1.7356,1.79779,2.53781,0.0006536,0.0006536,0.0006536
70,2793.11,0.45452,0.45919,1.02273,0.80172,0.6087,0.68681,0.34976,1.59668,1.71624,2.33089,0.0006338,0.0006338,0.0006338
71,2826.88,0.51725,0.5158,1.03891,0.93929,0.67336,0.79063,0.36982,1.6174,1.51299,2.35533,0.000614,0.000614,0.000614
72,2860.06,0.4834,0.44797,0.99875,0.75916,0.68561,0.78166,0.38164,1.72951,1.11935,2.50359,0.0005942,0.0005942,0.0005942
73,2896.19,0.53111,0.53561,1.09364,0.76098,0.73913,0.76141,0.37074,1.71893,1.13935,2.49332,0.0005744,0.0005744,0.0005744
74,2934.49,0.44974,0.44527,0.97432,0.7258,0.73913,0.72044,0.36374,1.66561,1.33503,2.2773,0.0005546,0.0005546,0.0005546
75,2977.42,0.4445,0.39056,0.98905,0.72053,0.69565,0.69887,0.38718,1.56044,1.45747,2.15323,0.0005348,0.0005348,0.0005348
76,3019.83,0.53501,0.50289,1.05676,0.75166,0.65822,0.70767,0.34665,1.67415,1.41133,2.22777,0.000515,0.000515,0.000515
77,3056.16,0.51924,0.44002,1.07394,0.777,0.6061,0.65757,0.31454,1.7215,1.42804,2.23683,0.0004952,0.0004952,0.0004952
78,3089.73,0.48304,0.47493,1.03106,0.70277,0.65217,0.6699,0.33408,1.62906,1.43697,2.14959,0.0004754,0.0004754,0.0004754
79,3123.07,0.47897,0.42678,1.00132,0.82794,0.65217,0.69357,0.39209,1.55147,1.36338,2.10862,0.0004556,0.0004556,0.0004556
80,3160.33,0.46942,0.43859,1.01594,0.85062,0.65217,0.73957,0.44795,1.40472,1.28154,1.90566,0.0004358,0.0004358,0.0004358
81,3199.17,0.46685,0.41939,1.00901,0.7795,0.69565,0.75139,0.44408,1.39367,1.3097,1.86458,0.000416,0.000416,0.000416
82,3239.16,0.54727,0.4902,1.06503,0.82167,0.69565,0.76005,0.43022,1.44567,1.40147,1.93738,0.0003962,0.0003962,0.0003962
