epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,7254.14,0.39147,0.31565,1.00781,0.84106,0.9342,0.9341,0.74943,0.79393,0.62295,1.7005,0.0003764,0.0003764,0.0003764
84,7334.38,0.40353,0.33808,1.02806,0.83584,0.94118,0.95205,0.75755,0.77982,0.52762,1.70391,0.0003566,0.0003566,0.0003566
85,7415.04,0.39931,0.34199,1.01998,0.93741,0.88105,0.96123,0.76454,0.80584,0.52992,1.76186,0.0003368,0.0003368,0.0003368
86,7494.91,0.40588,0.33179,1.01157,0.83687,0.94118,0.9426,0.74422,0.8069,0.52797,1.7584,0.000317,0.000317,0.000317
87,7574.35,0.40396,0.32613,1.02444,0.84948,0.99611,0.97333,0.70909,0.90638,0.51627,1.92154,0.0002972,0.0002972,0.0002972
88,7652.96,0.38597,0.31409,0.99274,0.95276,0.88235,0.9785,0.70566,0.88769,0.48323,1.89836,0.0002774,0.0002774,0.0002774
89,7734.95,0.38645,0.30973,0.99313,0.94058,0.94118,0.98397,0.7057,0.87329,0.46947,1.86301,0.0002576,0.0002576,0.0002576
90,7810.56,0.39503,0.32766,1.01156,0.87259,0.94118,0.97322,0.70961,0.85335,0.45834,1.81811,0.0002378,0.0002378,0.0002378
91,7891.24,0.30632,0.31555,0.99014,1,0.97391,0.995,0.71676,0.88599,0.4882,1.85924,0.000218,0.000218,0.000218
92,7966.44,0.28235,0.26253,0.97317,0.93996,1,0.995,0.71938,0.90425,0.48682,1.92498,0.0001982,0.0001982,0.0001982
93,8042.44,0.28305,0.24693,0.96728,0.93032,1,0.995,0.74602,0.82909,0.4902,1.83917,0.0001784,0.0001784,0.0001784
94,8119.17,0.27708,0.23346,0.92771,0.89001,1,0.98621,0.70814,0.84463,0.53325,1.85108,0.0001586,0.0001586,0.0001586
95,8194.13,0.27744,0.22917,0.95512,0.87967,1,0.98342,0.73,0.84404,0.53661,1.86389,0.0001388,0.0001388,0.0001388
96,8269.97,0.25524,0.21194,0.94974,0.86876,1,0.97967,0.72304,0.83066,0.54421,1.8578,0.000119,0.000119,0.000119
97,8346.53,0.27086,0.22567,0.95712,0.86688,1,0.97967,0.71329,0.83682,0.52768,1.89047,9.92e-05,9.92e-05,9.92e-05
98,8423.79,0.25,0.20348,0.91907,0.89004,1,0.98268,0.70662,0.84247,0.4987,1.87371,7.94e-05,7.94e-05,7.94e-05
99,8500.11,0.25265,0.21306,0.9415,0.89409,0.99348,0.98268,0.709,0.8382,0.49833,1.85129,5.96e-05,5.96e-05,5.96e-05
100,8576.28,0.25012,0.20763,0.93295,0.88871,1,0.98621,0.71906,0.83179,0.50072,1.85975,3.98e-05,3.98e-05,3.98e-05
